ID,Name,Tactics
T1055.011,Extra Window Memory Injection,"Defense-Evasion, Privilege-Escalation"
T1053.005,Scheduled Task,"Execution, Persistence, Privilege-Escalation"
T1205.002,Socket Filters,"Command-And-Control, Defense-Evasion, Persistence"
T1560.001,Archive via Utility,Collection
T1021.005,VNC,Lateral-Movement
T1047,Windows Management Instrumentation,Execution
T1113,Screen Capture,Collection
T1027.011,Fileless Storage,Defense-Evasion
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege-Escalation"
T1557,Adversary-in-the-Middle,"Collection, Credential-Access"
T1033,System Owner/User Discovery,Discovery
T1583,Acquire Infrastructure,Resource-Development
T1218.011,Rundll32,Defense-Evasion
T1613,Container and Resource Discovery,Discovery
T1583.007,Serverless,Resource-Development
T1132.001,Standard Encoding,Command-And-Control
T1027.009,Embedded Payloads,Defense-Evasion
T1556.003,Pluggable Authentication Modules,"Credential-Access, Defense-Evasion, Persistence"
T1578.004,Revert Cloud Instance,Defense-Evasion
T1592,Gather Victim Host Information,Reconnaissance
T1596.003,Digital Certificates,Reconnaissance
T1056.001,Keylogging,"Collection, Credential-Access"
T1564.012,File/Path Exclusions,Defense-Evasion
T1222.002,Linux and Mac File and Directory Permissions Modification,Defense-Evasion
T1110.001,Password Guessing,Credential-Access
T1216.001,PubPrn,Defense-Evasion
T1597.002,Purchase Technical Data,Reconnaissance
T1003,OS Credential Dumping,Credential-Access
T1129,Shared Modules,Execution
T1602,Data from Configuration Repository,Collection
T1561.002,Disk Structure Wipe,Impact
T1498.001,Direct Network Flood,Impact
T1574.007,Path Interception by PATH Environment Variable,"Defense-Evasion, Persistence, Privilege-Escalation"
T1213.002,Sharepoint,Collection
T1006,Direct Volume Access,Defense-Evasion
T1588.007,Artificial Intelligence,Resource-Development
T1666,Modify Cloud Resource Hierarchy,Defense-Evasion
T1564.008,Email Hiding Rules,Defense-Evasion
T1491.002,External Defacement,Impact
T1027.013,Encrypted/Encoded File,Defense-Evasion
T1590.005,IP Addresses,Reconnaissance
T1499.001,OS Exhaustion Flood,Impact
T1014,Rootkit,Defense-Evasion
T1546.013,PowerShell Profile,"Persistence, Privilege-Escalation"
T1059.007,JavaScript,Execution
T1590.002,DNS,Reconnaissance
T1485.001,Lifecycle-Triggered Deletion,Impact
T1123,Audio Capture,Collection
T1543,Create or Modify System Process,"Persistence, Privilege-Escalation"
T1133,External Remote Services,"Initial-Access, Persistence"
T1546.006,LC_LOAD_DYLIB Addition,"Persistence, Privilege-Escalation"
T1539,Steal Web Session Cookie,Credential-Access
T1053.007,Container Orchestration Job,"Execution, Persistence, Privilege-Escalation"
T1568.002,Domain Generation Algorithms,Command-And-Control
T1036.007,Double File Extension,Defense-Evasion
T1548.002,Bypass User Account Control,"Defense-Evasion, Privilege-Escalation"
T1496.003,SMS Pumping,Impact
T1016.001,Internet Connection Discovery,Discovery
T1548.003,Sudo and Sudo Caching,"Defense-Evasion, Privilege-Escalation"
T1560.003,Archive via Custom Method,Collection
T1578,Modify Cloud Compute Infrastructure,Defense-Evasion
T1584.008,Network Devices,Resource-Development
T1583.008,Malvertising,Resource-Development
T1069,Permission Groups Discovery,Discovery
T1114,Email Collection,Collection
T1003.002,Security Account Manager,Credential-Access
T1596.002,WHOIS,Reconnaissance
T1542.001,System Firmware,"Defense-Evasion, Persistence"
T1594,Search Victim-Owned Websites,Reconnaissance
T1069.003,Cloud Groups,Discovery
T1574.011,Services Registry Permissions Weakness,"Defense-Evasion, Persistence, Privilege-Escalation"
T1596.001,DNS/Passive DNS,Reconnaissance
T1499.003,Application Exhaustion Flood,Impact
T1195.001,Compromise Software Dependencies and Development Tools,Initial-Access
T1588.004,Digital Certificates,Resource-Development
T1583.002,DNS Server,Resource-Development
T1561,Disk Wipe,Impact
T1071.004,DNS,Command-And-Control
T1552.005,Cloud Instance Metadata API,Credential-Access
T1555.002,Securityd Memory,Credential-Access
T1615,Group Policy Discovery,Discovery
T1542.003,Bootkit,"Defense-Evasion, Persistence"
T1025,Data from Removable Media,Collection
T1218.013,Mavinject,Defense-Evasion
T1074.001,Local Data Staging,Collection
T1036.005,Match Legitimate Resource Name or Location,Defense-Evasion
T1587.003,Digital Certificates,Resource-Development
T1565.001,Stored Data Manipulation,Impact
T1110.002,Password Cracking,Credential-Access
T1114.001,Local Email Collection,Collection
T1555.001,Keychain,Credential-Access
T1547,Boot or Logon Autostart Execution,"Persistence, Privilege-Escalation"
T1003.004,LSA Secrets,Credential-Access
T1600,Weaken Encryption,Defense-Evasion
T1606.002,SAML Tokens,Credential-Access
T1036.008,Masquerade File Type,Defense-Evasion
T1489,Service Stop,Impact
T1587.001,Malware,Resource-Development
T1652,Device Driver Discovery,Discovery
T1087.002,Domain Account,Discovery
T1547.014,Active Setup,"Persistence, Privilege-Escalation"
T1564,Hide Artifacts,Defense-Evasion
T1559.002,Dynamic Data Exchange,Execution
T1204.002,Malicious File,Execution
T1591.003,Identify Business Tempo,Reconnaissance
T1071.005,Publish/Subscribe Protocols,Command-And-Control
T1592.001,Hardware,Reconnaissance
T1080,Taint Shared Content,Lateral-Movement
T1484.002,Trust Modification,"Defense-Evasion, Privilege-Escalation"
T1573.001,Symmetric Cryptography,Command-And-Control
T1087.001,Local Account,Discovery
T1586.001,Social Media Accounts,Resource-Development
T1176.001,Browser Extensions,Persistence
T1562.009,Safe Mode Boot,Defense-Evasion
T1542.005,TFTP Boot,"Defense-Evasion, Persistence"
T1543.003,Windows Service,"Persistence, Privilege-Escalation"
T1568.001,Fast Flux DNS,Command-And-Control
T1497.001,System Checks,"Defense-Evasion, Discovery"
T1053.003,Cron,"Execution, Persistence, Privilege-Escalation"
T1069.002,Domain Groups,Discovery
T1588.006,Vulnerabilities,Resource-Development
T1566.002,Spearphishing Link,Initial-Access
T1070.002,Clear Linux or Mac System Logs,Defense-Evasion
T1499.004,Application or System Exploitation,Impact
T1137,Office Application Startup,Persistence
T1218.004,InstallUtil,Defense-Evasion
